WOJEWÓDZTWO,STAN NA DZIEŃ,LICZBA WNIOSKÓW [tys.],KOBIETY <18 [%],KOBIETY 18-65 [%],KOBIETY >65 [%],MĘŻCZYŹNI <18 [%],MĘŻCZYŹNI 18-65 [%],MĘŻCZYŹNI >65 [%]
POLSKA,14-03-2022,0.25,19.0,49.0,3.2,24.1,4.0,0.8
POLSKA,15-03-2022,1.63,22.6,47.9,2.2,23.0,3.4,0.9
POLSKA,16-03-2022,35.53,23.1,47.7,2.6,22.7,3.3,0.7
POLSKA,17-03-2022,82.18,23.8,46.4,2.5,23.4,3.2,0.7
POLSKA,18-03-2022,129.6,24.0,45.7,2.5,23.9,3.2,0.7
POLSKA,19-03-2022,140.54,24.1,45.6,2.5,23.9,3.2,0.6
POLSKA,20-03-2022,143.5,24.1,45.6,2.5,23.9,3.2,0.7
POLSKA,21-03-2022,201.14,24.2,45.3,2.5,24.1,3.2,0.6
POLSKA,22-03-2022,257.21,24.3,45.1,2.5,24.2,3.2,0.7
POLSKA,23-03-2022,311.12,24.3,45.0,2.5,24.3,3.2,0.7
POLSKA,24-03-2022,362.2,24.4,44.9,2.5,24.3,3.2,0.7
POLSKA,25-03-2022,409.75,24.4,44.9,2.5,24.3,3.2,0.7
POLSKA,26-03-2022,421.8,24.4,44.9,2.6,24.3,3.2,0.7
POLSKA,27-03-2022,424.4,24.4,44.9,2.6,24.3,3.2,0.7
POLSKA,28-03-2022,478.17,24.4,44.8,2.6,24.3,3.3,0.7
POLSKA,29-03-2022,529.66,24.4,44.7,2.6,24.2,3.3,0.7
POLSKA,30-03-2022,578.13,24.4,44.7,2.6,24.2,3.4,0.7
POLSKA,31-03-2022,622.18,24.4,44.7,2.6,24.2,3.5,0.7
POLSKA,01-04-2022,657.56,24.3,44.7,2.6,24.1,3.5,0.7
POLSKA,02-04-2022,665.38,24.3,44.7,2.6,24.1,3.5,0.7
POLSKA,03-04-2022,666.77,24.3,44.7,2.6,24.1,3.5,0.7
POLSKA,04-04-2022,704.74,24.3,44.8,2.6,24.0,3.6,0.7
POLSKA,05-04-2022,739.41,24.2,44.8,2.7,24.0,3.7,0.7
POLSKA,06-04-2022,771.79,24.1,44.8,2.7,23.9,3.7,0.7
POLSKA,07-04-2022,802.31,24.1,44.9,2.7,23.9,3.7,0.7
POLSKA,08-04-2022,828.25,24.0,44.9,2.7,23.8,3.8,0.7
POLSKA,09-04-2022,833.65,24.0,44.9,2.7,23.8,3.8,0.7
POLSKA,10-04-2022,835.18,24.0,44.9,2.7,23.8,3.8,0.7
POLSKA,11-04-2022,862.12,23.9,45.0,2.7,23.7,3.9,0.7
POLSKA,12-04-2022,886.29,23.9,45.0,2.8,23.7,3.9,0.8
POLSKA,13-04-2022,908.14,23.8,45.0,2.8,23.6,4.0,0.8
POLSKA,14-04-2022,926.22,23.8,45.1,2.8,23.6,4.0,0.8
POLSKA,15-04-2022,937.42,23.7,45.1,2.8,23.6,4.0,0.8
POLSKA,16-04-2022,937.43,23.7,45.1,2.8,23.6,4.0,0.8
POLSKA,19-04-2022,955.75,23.7,45.1,2.8,23.5,4.1,0.8
POLSKA,20-04-2022,972.0,23.6,45.2,2.8,23.4,4.1,0.8
POLSKA,21-04-2022,986.07,23.6,45.2,2.8,23.4,4.2,0.8
POLSKA,22-04-2022,997.7,23.5,45.2,2.9,23.3,4.2,0.8
POLSKA,23-04-2022,999.54,23.5,45.2,2.9,23.3,4.2,0.8
POLSKA,25-04-2022,1012.66,23.5,45.3,2.9,23.3,4.3,0.8
POLSKA,26-04-2022,1023.09,23.4,45.3,2.9,23.3,4.3,0.8
POLSKA,27-04-2022,1032.05,23.4,45.3,2.9,23.2,4.4,0.8
POLSKA,28-04-2022,1039.69,23.4,45.3,2.9,23.2,4.4,0.8
POLSKA,29-04-2022,1046.88,23.4,45.3,2.9,23.2,4.4,0.8
POLSKA,30-04-2022,1048.31,23.3,45.4,2.9,23.2,4.4,0.8
POLSKA,02-05-2022,1051.91,23.3,45.4,2.9,23.1,4.5,0.8
POLSKA,04-05-2022,1060.22,23.3,45.4,2.9,23.1,4.5,0.8
POLSKA,05-05-2022,1066.85,23.2,45.4,2.9,23.1,4.6,0.8
POLSKA,06-05-2022,1072.29,23.2,45.4,2.9,23.0,4.6,0.8
POLSKA,07-05-2022,1073.02,23.2,45.5,2.9,23.0,4.6,0.8
POLSKA,08-05-2022,1073.26,23.2,45.5,2.9,23.0,4.6,0.8
POLSKA,09-05-2022,1080.41,23.1,45.5,2.9,23.0,4.7,0.8
POLSKA,10-05-2022,1085.93,23.1,45.5,2.9,22.9,4.7,0.8
POLSKA,11-05-2022,1090.67,23.1,45.5,2.9,22.9,4.7,0.8
POLSKA,12-05-2022,1094.72,23.0,45.6,2.9,22.9,4.8,0.8
POLSKA,13-05-2022,1097.91,23.0,45.6,2.9,22.9,4.8,0.8
POLSKA,14-05-2022,1097.96,23.0,45.6,2.9,22.9,4.8,0.8
POLSKA,16-05-2022,1103.52,23.0,45.6,2.9,22.8,4.8,0.8
POLSKA,17-05-2022,1107.76,22.9,45.6,2.9,22.8,4.9,0.8
POLSKA,18-05-2022,1111.47,22.9,45.7,2.9,22.8,4.9,0.8
POLSKA,19-05-2022,1114.67,22.9,45.7,2.9,22.7,4.9,0.8
POLSKA,20-05-2022,1117.64,22.9,45.7,2.9,22.7,4.9,0.8
POLSKA,21-05-2022,1117.98,22.9,45.7,2.9,22.7,5.0,0.8
POLSKA,22-05-2022,1118.18,22.9,45.7,2.9,22.7,5.0,0.8
POLSKA,23-05-2022,1122.83,22.8,45.7,2.9,22.7,5.0,0.8
